id,taxon,preffered_ID,fastq_name,concentration,result,general_location,notes
117,Loxia curvirostra type2,LC_2_117,DP8400010142TL_L01_SP2004210289_1.fq.gz DP8400010142TL_L01_SP2004210289_2.fq.gz  DP8400010706TL_L01_SP2004210289_1.fq.gz  ,125.1,Qualified,Little Rockies,"BGI misread, this is 112"
170979,Loxia curvirostra type2,LC_2_170979,DP8400010194TL_L01_SP2004210287_1.fq.gz DP8400010194TL_L01_SP2004210287_2.fq.gz,57.2,Qualified,California,
170980,Loxia curvirostra type2,LC_2_170980,DP8400010141TL_L01_SP2004210275_1.fq.gz DP8400010141TL_L01_SP2004210275_2.fq.gz,84.3,Qualified,California,
170981,Loxia curvirostra type2,LC_2_170981,DP8400010142TL_L01_SP2004210273_1.fq.gz DP8400010142TL_L01_SP2004210273_2.fq.gz,104.9,Qualified,California,
170982,Loxia curvirostra type2,LC_2_170982,DP8400010141TL_L01_SP2004210277_1.fq.gz DP8400010141TL_L01_SP2004210277_2.fq.gz,64.5,Qualified,California,
170983,Loxia curvirostra type2,LC_2_170983,DP8400010190TL_L01_SP2004210280_1.fq.gz DP8400010190TL_L01_SP2004210280_2.fq.gz,162.2,Qualified,California,
170984,Loxia curvirostra type2,LC_2_170984,DP8400010189TL_L01_SP2004210272_1.fq.gz DP8400010189TL_L01_SP2004210272_2.fq.gz,136.6,Qualified,California,
170985,Loxia curvirostra type2,LC_2_170985,DP8400010194TL_L01_SP2004210284_1.fq.gz DP8400010194TL_L01_SP2004210284_2.fq.gz,157.3,Qualified,California,
170986,Loxia curvirostra type2,LC_2_170986,DP8400010141TL_L01_SP2004210279_1.fq.gz DP8400010141TL_L01_SP2004210279_2.fq.gz,97.5,Qualified,California,
170987,Loxia curvirostra type2,LC_2_170987,DP8400010194TL_L01_SP2004210283_1.fq.gz DP8400010194TL_L01_SP2004210283_2.fq.gz,104.6,Qualified,California,
170988,Loxia curvirostra type2,LC_2_170988,DP8400010194TL_L01_SP2004210288_1.fq.gz DP8400010194TL_L01_SP2004210288_2.fq.gz,95.3,Qualified,California,
